Logger: #E50A33 'PT1000TEMP' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013),,
No,Time,#1:oC,#HK-Bat:V
527,22.05.2015 09:00:00,20.1351,
528,22.05.2015 10:00:00,20.1996,
529,22.05.2015 11:00:00,20.2388,
530,22.05.2015 12:00:00,20.2585,3.652
531,22.05.2015 13:00:00,20.2722,
532,22.05.2015 14:00:00,20.2805,
533,22.05.2015 15:00:00,20.2943,
534,22.05.2015 16:00:00,20.303,
535,22.05.2015 17:00:00,20.3103,
536,22.05.2015 18:00:00,20.33,3.652
537,22.05.2015 19:00:00,20.3498,
538,22.05.2015 20:00:00,20.3738,
539,22.05.2015 21:00:00,20.3897,
540,22.05.2015 22:00:00,20.4539,
541,22.05.2015 23:00:00,20.6054,
542,23.05.2015 00:00:00,20.7569,3.652
543,23.05.2015 01:00:00,20.7663,
544,23.05.2015 02:00:00,20.6913,
545,23.05.2015 03:00:00,20.5571,
546,23.05.2015 04:00:00,20.4194,
547,23.05.2015 05:00:00,20.265,
548,23.05.2015 06:00:00,20.127,3.652
549,23.05.2015 07:00:00,19.9849,
550,23.05.2015 08:00:00,19.8566,
551,23.05.2015 09:00:00,19.7442,
552,23.05.2015 10:00:00,19.6483,
553,23.05.2015 11:00:00,19.5212,
554,23.05.2015 12:00:00,19.4253,3.648
555,23.05.2015 13:00:00,19.3313,
556,23.05.2015 14:00:00,19.2336,
557,23.05.2015 15:00:00,19.156,
558,23.05.2015 16:00:00,19.1035,
559,23.05.2015 17:00:00,19.071,
560,23.05.2015 18:00:00,19.0656,3.645
561,23.05.2015 19:00:00,19.0713,
562,23.05.2015 20:00:00,19.1185,
563,23.05.2015 21:00:00,19.1865,
564,23.05.2015 22:00:00,19.2491,
565,23.05.2015 23:00:00,19.2629,
566,24.05.2015 00:00:00,19.2741,3.646
567,24.05.2015 01:00:00,19.2728,
568,24.05.2015 02:00:00,19.2584,
569,24.05.2015 03:00:00,19.235,
570,24.05.2015 04:00:00,19.2008,
571,24.05.2015 05:00:00,19.1769,
572,24.05.2015 06:00:00,19.17,3.646
573,24.05.2015 07:00:00,19.1847,
574,24.05.2015 08:00:00,19.1964,
575,24.05.2015 09:00:00,19.2187,
576,24.05.2015 10:00:00,19.2432,
577,24.05.2015 11:00:00,19.2631,
578,24.05.2015 12:00:00,19.2982,3.645
579,24.05.2015 13:00:00,19.3354,
580,24.05.2015 14:00:00,19.3699,
581,24.05.2015 15:00:00,19.419,
582,24.05.2015 16:00:00,19.4749,
583,24.05.2015 17:00:00,19.485,
584,24.05.2015 18:00:00,19.4706,3.647
585,24.05.2015 19:00:00,19.4357,
586,24.05.2015 20:00:00,19.4224,
587,24.05.2015 21:00:00,19.4106,
588,24.05.2015 22:00:00,19.4142,
589,24.05.2015 23:00:00,19.4331,
590,25.05.2015 00:00:00,19.4666,3.647
591,25.05.2015 01:00:00,19.4896,
592,25.05.2015 02:00:00,19.5123,
593,25.05.2015 03:00:00,19.503,
594,25.05.2015 04:00:00,19.4987,
595,25.05.2015 05:00:00,19.4845,
